dates,cases
1/21/2020,282
1/22/2020,314
1/23/2020,581
1/24/2020,846
1/25/2020,1320
1/26/2020,2014
1/27/2020,2798
1/28/2020,4593
1/29/2020,6065
1/30/2020,7818
1/31/2020,9826
02-01-2020,11953
02-02-2020,14557
02-03-2020,17391
02-04-2020,20630
02-05-2020,24554
02-06-2020,28276
02-07-2020,31481
02-08-2020,34886
02-09-2020,37558
02-10-2020,40554
02-11-2020,43103
02-12-2020,45171
2/13/2020,46997
2/14/2020,49053
2/15/2020,50580
2/16/2020,51857
2/17/2020,71429
2/18/2020,73332
2/19/2020,75204
2/20/2020,75748
2/21/2020,76769
2/22/2020,77794
2/23/2020,78811
2/24/2020,79331
2/25/2020,80239
2/26/2020,81109
2/27/2020,82294
2/28/2020,83652
2/29/2020,85403
03-01-2020,87137
03-02-2020,88948
03-03-2020,90870
03-04-2020,93091
03-05-2020,95324
03-06-2020,98192
03-07-2020,101927
03-08-2020,105586
03-09-2020,109577
03-10-2020,113702
03-11-2020,118319
03-12-2020,125048
3/13/2020,132758
3/14/2020,142539
3/15/2020,153517
3/16/2020,167515
3/17/2020,179111
3/18/2020,191127
3/19/2020,209839
3/20/2020,234073
3/21/2020,266073
3/22/2020,292142
3/23/2020,332930
3/24/2020,372755
3/25/2020,413467
3/26/2020,462684
3/27/2020,509164
3/28/2020,571659
3/29/2020,634813
3/30/2020,693282
3/31/2020,750890
04-01-2020,823626
04-02-2020,896450
04-03-2020,972303
04-04-2020,1051697
04-05-2020,1133758
04-06-2020,1210956
04-07-2020,1279722
04-08-2020,1353361
04-09-2020,1210956
04-10-2020,1521252
04-11-2020,1610909
04-12-2020,1696588
4/13/2020,1773084
4/14/2020,1844863
4/15/2020,1914916
4/16/2020,1991562
4/17/2020,2074529
4/18/2020,2160207
4/19/2020,2241778
4/20/2020,2314621
4/21/2020,2397216
4/22/2020,2471136
4/23/2020,2544792
4/24/2020,2626321
4/25/2020,2719896
4/26/2020,2804796
4/27/2020,2878196
4/28/2020,2954222
4/29/2020,3018681
4/30/2020,3090445
05-01-2020,3175207
05-02-2020,3267184
05-03-2020,3349786
05-04-2020,3435894
05-05-2020,3517345
05-06-2020,3588773
05-07-2020,3672238
05-08-2020,3759967
05-09-2020,3855809
05-10-2020,3917366
05-11-2020,4006257
05-12-2020,4088848
5/13/2020,4170424
5/14/2020,4248389
5/15/2020,4338658
5/16/2020,4425485
5/17/2020,4525497
5/18/2020,4618821
5/19/2020,4731458
5/20/2020,4789205
5/21/2020,4893186
5/22/2020,4993470
5/23/2020,5103006
5/24/2020,5204508
5/25/2020,5304772
5/26/2020,5404512
5/27/2020,5488825
5/28/2020,5593631
5/29/2020,5701337
5/30/2020,5817385
5/31/2020,5934936
06-01-2020,6057853
06-02-2020,6194533
